stable_id,identifier,display_code,english_name,chinese_name,record_status,canonical_identifier,source_class,material_category,source_menu,source_menu_visible,main_menu_policy,current_rc9_entry,target_entry,periodic_atomic_numbers,periodic_symbols,periodic_relation_groups,duplicate_concept,module,module_disable_behavior,save_compatibility,description_coverage,source_mod,source_commit,source_file,license,relation_provenance,confidence,notes
136,DEFAULT_PT_ELEC,ELEC,Electron,电子,canonical,DEFAULT_PT_ELEC,official_original,official_sandbox_element,SC_NUCLEAR,true,official_default,main_menu:SC_NUCLEAR,main_menu:SC_NUCLEAR,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/ELEC.cpp,GPL-3.0-only,,high,
137,DEFAULT_PT_ACEL,ACEL,Accelerator,加速器,canonical,DEFAULT_PT_ACEL,official_original,official_sandbox_element,SC_FORCE,true,official_default,main_menu:SC_FORCE,main_menu:SC_FORCE,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/ACEL.cpp,GPL-3.0-only,,high,
138,DEFAULT_PT_DCEL,DCEL,Decelerator,减速器,canonical,DEFAULT_PT_DCEL,official_original,official_sandbox_element,SC_FORCE,true,official_default,main_menu:SC_FORCE,main_menu:SC_FORCE,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/DCEL.cpp,GPL-3.0-only,,high,
139,DEFAULT_PT_BANG,TNT,TNT,TNT 炸药,canonical,DEFAULT_PT_BANG,official_original,official_sandbox_element,SC_EXPLOSIVE,true,official_default,main_menu:SC_EXPLOSIVE,main_menu:SC_EXPLOSIVE,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/BANG.cpp,GPL-3.0-only,,high,
140,DEFAULT_PT_IGNT,IGNC,Ignition Cord,点火索,canonical,DEFAULT_PT_IGNT,official_original,official_sandbox_element,SC_EXPLOSIVE,true,official_default,main_menu:SC_EXPLOSIVE,main_menu:SC_EXPLOSIVE,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/IGNT.cpp,GPL-3.0-only,,high,
141,DEFAULT_PT_BOYL,BOYL,Boyle Gas,波义耳气体,canonical,DEFAULT_PT_BOYL,official_original,official_sandbox_element,SC_GAS,true,official_default,main_menu:SC_GAS,main_menu:SC_GAS,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/BOYL.cpp,GPL-3.0-only,,high,
142,DEFAULT_PT_GEL,GEL,Gel,凝胶,canonical,DEFAULT_PT_GEL,official_original,official_sandbox_element,SC_LIQUID,true,official_default,main_menu:SC_LIQUID,main_menu:SC_LIQUID,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/GEL.cpp,GPL-3.0-only,,high,
143,DEFAULT_PT_TRON,TRON,Tron,智能粒子,canonical,DEFAULT_PT_TRON,official_original,official_sandbox_element,SC_SPECIAL,true,official_default,main_menu:SC_SPECIAL,main_menu:SC_SPECIAL,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/TRON.cpp,GPL-3.0-only,,high,
144,DEFAULT_PT_TTAN,TTAN,Titanium,钛,canonical,DEFAULT_PT_TTAN,official_original,single_element,SC_SOLIDS,true,official_default,main_menu:SC_SOLIDS+periodic_table,main_menu:SC_SOLIDS+periodic_table,22,Ti,element,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/TTAN.cpp,GPL-3.0-only,docs/PERIODIC_CONTENT_LINKS.csv,high,
145,DEFAULT_PT_EXOT,EXOT,Exotic Matter,奇异物质,canonical,DEFAULT_PT_EXOT,official_original,official_sandbox_element,SC_NUCLEAR,true,official_default,main_menu:SC_NUCLEAR,main_menu:SC_NUCLEAR,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/EXOT.cpp,GPL-3.0-only,,high,
147,DEFAULT_PT_EMBR,EMBR,Ember,火花,canonical,DEFAULT_PT_EMBR,official_original,official_sandbox_element,SC_EXPLOSIVE,false,official_default,hidden_or_runtime_only,hidden_or_runtime_only,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/EMBR.cpp,GPL-3.0-only,,high,
148,DEFAULT_PT_H2,HYGN,Hydrogen,氢气,canonical,DEFAULT_PT_H2,official_original,single_element,SC_GAS,true,official_default,main_menu:SC_GAS+periodic_table,main_menu:SC_GAS+periodic_table,1,H,element,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/H2.cpp,GPL-3.0-only,docs/PERIODIC_CONTENT_LINKS.csv,high,
149,DEFAULT_PT_SOAP,SOAP,Soap,肥皂,canonical,DEFAULT_PT_SOAP,official_original,official_sandbox_element,SC_LIQUID,true,official_default,main_menu:SC_LIQUID,main_menu:SC_LIQUID,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/SOAP.cpp,GPL-3.0-only,,high,
150,DEFAULT_PT_NBHL,BHOL,Black Hole,黑洞,canonical,DEFAULT_PT_NBHL,official_original,official_sandbox_element,SC_SPECIAL,true,official_default,main_menu:SC_SPECIAL,main_menu:SC_SPECIAL,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/NBHL.cpp,GPL-3.0-only,,high,
151,DEFAULT_PT_NWHL,WHOL,White Hole,白洞,canonical,DEFAULT_PT_NWHL,official_original,official_sandbox_element,SC_SPECIAL,true,official_default,main_menu:SC_SPECIAL,main_menu:SC_SPECIAL,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/NWHL.cpp,GPL-3.0-only,,high,
152,DEFAULT_PT_MERC,MERC,Mercury,汞,canonical,DEFAULT_PT_MERC,official_original,single_element,SC_LIQUID,true,official_default,main_menu:SC_LIQUID+periodic_table,main_menu:SC_LIQUID+periodic_table,80,Hg,element,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/MERC.cpp,GPL-3.0-only,docs/PERIODIC_CONTENT_LINKS.csv,high,
153,DEFAULT_PT_PBCN,PBCN,Powered Breakable Clone,可控可破坏复制体,canonical,DEFAULT_PT_PBCN,official_original,official_sandbox_element,SC_POWERED,true,official_default,main_menu:SC_POWERED,main_menu:SC_POWERED,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/PBCN.cpp,GPL-3.0-only,,high,
154,DEFAULT_PT_GPMP,GPMP,Gravity Pump,引力泵,canonical,DEFAULT_PT_GPMP,official_original,official_sandbox_element,SC_POWERED,true,official_default,main_menu:SC_POWERED,main_menu:SC_POWERED,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/GPMP.cpp,GPL-3.0-only,,high,
155,DEFAULT_PT_CLST,CLST,Clay Dust,黏土粉,canonical,DEFAULT_PT_CLST,official_original,official_sandbox_element,SC_POWDERS,true,official_default,main_menu:SC_POWDERS,main_menu:SC_POWDERS,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/CLST.cpp,GPL-3.0-only,,high,
156,DEFAULT_PT_WIRE,WWLD,WireWorld Wire,WireWorld 导线,canonical,DEFAULT_PT_WIRE,official_original,official_sandbox_element,SC_ELEC,true,official_default,main_menu:SC_ELEC,main_menu:SC_ELEC,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/WIRE.cpp,GPL-3.0-only,,high,
157,DEFAULT_PT_GBMB,GBMB,Gravity Bomb,引力炸弹,canonical,DEFAULT_PT_GBMB,official_original,official_sandbox_element,SC_FORCE,true,official_default,main_menu:SC_FORCE,main_menu:SC_FORCE,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/GBMB.cpp,GPL-3.0-only,,high,
158,DEFAULT_PT_FIGH,FIGH,Fighter,格斗者,canonical,DEFAULT_PT_FIGH,official_original,official_sandbox_element,SC_SPECIAL,true,official_default,main_menu:SC_SPECIAL,main_menu:SC_SPECIAL,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/FIGH.cpp,GPL-3.0-only,,high,
159,DEFAULT_PT_FRAY,FRAY,Force Ray Emitter,力射线发射器,canonical,DEFAULT_PT_FRAY,official_original,official_sandbox_element,SC_FORCE,true,official_default,main_menu:SC_FORCE,main_menu:SC_FORCE,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/FRAY.cpp,GPL-3.0-only,,high,
160,DEFAULT_PT_RPEL,RPEL,Repeller,力场极,canonical,DEFAULT_PT_RPEL,official_original,official_sandbox_element,SC_FORCE,true,official_default,main_menu:SC_FORCE,main_menu:SC_FORCE,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/RPEL.cpp,GPL-3.0-only,,high,
161,DEFAULT_PT_PPIP,PPIP,Powered Pipe,可控动力管,canonical,DEFAULT_PT_PPIP,official_original,official_sandbox_element,SC_POWERED,true,official_default,main_menu:SC_POWERED,main_menu:SC_POWERED,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/PPIP.cpp,GPL-3.0-only,,high,
162,DEFAULT_PT_DTEC,DTEC,Detector,探测器,canonical,DEFAULT_PT_DTEC,official_original,official_sandbox_element,SC_SENSOR,true,official_default,main_menu:SC_SENSOR,main_menu:SC_SENSOR,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/DTEC.cpp,GPL-3.0-only,,high,
163,DEFAULT_PT_DMG,DMG,Damage Particle,冲击粒子,canonical,DEFAULT_PT_DMG,official_original,official_sandbox_element,SC_FORCE,true,official_default,main_menu:SC_FORCE,main_menu:SC_FORCE,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/DMG.cpp,GPL-3.0-only,,high,
164,DEFAULT_PT_TSNS,TSNS,Temperature Sensor,温度传感器,canonical,DEFAULT_PT_TSNS,official_original,official_sandbox_element,SC_SENSOR,true,official_default,main_menu:SC_SENSOR,main_menu:SC_SENSOR,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/TSNS.cpp,GPL-3.0-only,,high,
165,DEFAULT_PT_VIBR,VIBR,Vibranium,振金,canonical,DEFAULT_PT_VIBR,official_original,official_sandbox_element,SC_NUCLEAR,true,official_default,main_menu:SC_NUCLEAR,main_menu:SC_NUCLEAR,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/VIBR.cpp,GPL-3.0-only,,high,
166,DEFAULT_PT_BVBR,BVBR,Broken Vibranium,振金粉,canonical,DEFAULT_PT_BVBR,official_original,official_sandbox_element,SC_NUCLEAR,true,official_default,main_menu:SC_NUCLEAR,main_menu:SC_NUCLEAR,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/BVBR.cpp,GPL-3.0-only,,high,
167,DEFAULT_PT_CRAY,CRAY,Creator Ray,粒子射线发射器,canonical,DEFAULT_PT_CRAY,official_original,official_sandbox_element,SC_ELEC,true,official_default,main_menu:SC_ELEC,main_menu:SC_ELEC,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/CRAY.cpp,GPL-3.0-only,,high,
168,DEFAULT_PT_PSTN,PSTN,Piston,活塞,canonical,DEFAULT_PT_PSTN,official_original,official_sandbox_element,SC_FORCE,true,official_default,main_menu:SC_FORCE,main_menu:SC_FORCE,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/PSTN.cpp,GPL-3.0-only,,high,
169,DEFAULT_PT_FRME,FRME,Frame,支架,canonical,DEFAULT_PT_FRME,official_original,official_sandbox_element,SC_FORCE,true,official_default,main_menu:SC_FORCE,main_menu:SC_FORCE,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/FRME.cpp,GPL-3.0-only,,high,
170,DEFAULT_PT_GOLD,GOLD,Gold,金,canonical,DEFAULT_PT_GOLD,official_original,single_element,SC_SOLIDS,true,official_default,main_menu:SC_SOLIDS+periodic_table,main_menu:SC_SOLIDS+periodic_table,79,Au,element,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/GOLD.cpp,GPL-3.0-only,docs/PERIODIC_CONTENT_LINKS.csv,high,
171,DEFAULT_PT_TUNG,TUNG,Tungsten,钨,canonical,DEFAULT_PT_TUNG,official_original,single_element,SC_ELEC,true,official_default,main_menu:SC_ELEC+periodic_table,main_menu:SC_ELEC+periodic_table,74,W,element,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/TUNG.cpp,GPL-3.0-only,docs/PERIODIC_CONTENT_LINKS.csv,high,
172,DEFAULT_PT_PSNS,PSNS,Pressure Sensor,压力传感器,canonical,DEFAULT_PT_PSNS,official_original,official_sandbox_element,SC_SENSOR,true,official_default,main_menu:SC_SENSOR,main_menu:SC_SENSOR,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/PSNS.cpp,GPL-3.0-only,,high,
173,DEFAULT_PT_PROT,PROT,Proton,质子,canonical,DEFAULT_PT_PROT,official_original,official_sandbox_element,SC_NUCLEAR,true,official_default,main_menu:SC_NUCLEAR,main_menu:SC_NUCLEAR,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/PROT.cpp,GPL-3.0-only,,high,
174,DEFAULT_PT_VIRS,VIRS,Virus,病毒,canonical,DEFAULT_PT_VIRS,official_original,official_sandbox_element,SC_LIQUID,true,official_default,main_menu:SC_LIQUID,main_menu:SC_LIQUID,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/VIRS.cpp,GPL-3.0-only,,high,
175,DEFAULT_PT_VRSS,VRSS,Solid Virus,固态病毒,canonical,DEFAULT_PT_VRSS,official_original,official_sandbox_element,SC_SOLIDS,false,official_default,hidden_or_runtime_only,hidden_or_runtime_only,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/VRSS.cpp,GPL-3.0-only,,high,
176,DEFAULT_PT_VRSG,VRSG,Gas Virus,气态病毒,canonical,DEFAULT_PT_VRSG,official_original,official_sandbox_element,SC_GAS,false,official_default,hidden_or_runtime_only,hidden_or_runtime_only,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/VRSG.cpp,GPL-3.0-only,,high,
177,DEFAULT_PT_GRVT,GRVT,Graviton,引力子,canonical,DEFAULT_PT_GRVT,official_original,official_sandbox_element,SC_NUCLEAR,true,official_default,main_menu:SC_NUCLEAR,main_menu:SC_NUCLEAR,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/GRVT.cpp,GPL-3.0-only,,high,
178,DEFAULT_PT_DRAY,DRAY,Duplicator Ray,复制射线,canonical,DEFAULT_PT_DRAY,official_original,official_sandbox_element,SC_ELEC,true,official_default,main_menu:SC_ELEC,main_menu:SC_ELEC,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/DRAY.cpp,GPL-3.0-only,,high,
179,DEFAULT_PT_CRMC,CRMC,Ceramic,陶瓷,canonical,DEFAULT_PT_CRMC,official_original,official_sandbox_element,SC_SOLIDS,true,official_default,main_menu:SC_SOLIDS,main_menu:SC_SOLIDS,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/CRMC.cpp,GPL-3.0-only,,high,
180,DEFAULT_PT_HEAC,HEAC,Rapid Heat Conductor,高速导热体,canonical,DEFAULT_PT_HEAC,official_original,official_sandbox_element,SC_SOLIDS,true,official_default,main_menu:SC_SOLIDS,main_menu:SC_SOLIDS,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/HEAC.cpp,GPL-3.0-only,,high,
181,DEFAULT_PT_SAWD,SAWD,Sawdust,锯末,canonical,DEFAULT_PT_SAWD,official_original,official_sandbox_element,SC_POWDERS,true,official_default,main_menu:SC_POWDERS,main_menu:SC_POWDERS,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/SAWD.cpp,GPL-3.0-only,,high,
182,DEFAULT_PT_POLO,POLO,Polonium,钋,canonical,DEFAULT_PT_POLO,official_original,single_element,SC_NUCLEAR,true,official_default,main_menu:SC_NUCLEAR+periodic_table,main_menu:SC_NUCLEAR+periodic_table,84,Po,element,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/POLO.cpp,GPL-3.0-only,docs/PERIODIC_CONTENT_LINKS.csv,high,
183,DEFAULT_PT_RFRG,RFRG,Refrigerant Gas,气态制冷剂,canonical,DEFAULT_PT_RFRG,official_original,official_sandbox_element,SC_GAS,true,official_default,main_menu:SC_GAS,main_menu:SC_GAS,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/RFRG.cpp,GPL-3.0-only,,high,
184,DEFAULT_PT_RFGL,RFGL,Liquid Refrigerant,液态制冷剂,canonical,DEFAULT_PT_RFGL,official_original,official_sandbox_element,SC_LIQUID,false,official_default,hidden_or_runtime_only,hidden_or_runtime_only,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/RFGL.cpp,GPL-3.0-only,,high,
185,DEFAULT_PT_LSNS,LSNS,Life Sensor,生命值传感器,canonical,DEFAULT_PT_LSNS,official_original,official_sandbox_element,SC_SENSOR,true,official_default,main_menu:SC_SENSOR,main_menu:SC_SENSOR,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/LSNS.cpp,GPL-3.0-only,,high,
186,DEFAULT_PT_LDTC,LDTC,Linear Detector,线性探测器,canonical,DEFAULT_PT_LDTC,official_original,official_sandbox_element,SC_SENSOR,true,official_default,main_menu:SC_SENSOR,main_menu:SC_SENSOR,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/LDTC.cpp,GPL-3.0-only,,high,
187,DEFAULT_PT_SLCN,SLCN,Silicon Powder,硅粉,canonical,DEFAULT_PT_SLCN,official_original,single_element,SC_POWDERS,true,official_default,main_menu:SC_POWDERS+periodic_table,main_menu:SC_POWDERS+periodic_table,14,Si,element,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/SLCN.cpp,GPL-3.0-only,docs/PERIODIC_CONTENT_LINKS.csv,high,Upstream electrical and sparkle behavior is retained with an original bounded hot-oxygen route.
188,DEFAULT_PT_PTNM,PTNM,Platinum,铂,canonical,DEFAULT_PT_PTNM,official_original,single_element,SC_SOLIDS,true,official_default,main_menu:SC_SOLIDS+periodic_table,main_menu:SC_SOLIDS+periodic_table,78,Pt,element,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/PTNM.cpp,GPL-3.0-only,docs/PERIODIC_CONTENT_LINKS.csv,high,
189,DEFAULT_PT_VSNS,VSNS,Velocity Sensor,速度传感器,canonical,DEFAULT_PT_VSNS,official_original,official_sandbox_element,SC_SENSOR,true,official_default,main_menu:SC_SENSOR,main_menu:SC_SENSOR,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/VSNS.cpp,GPL-3.0-only,,high,
190,DEFAULT_PT_ROCK,ROCK,Rock,岩石,canonical,DEFAULT_PT_ROCK,official_original,official_sandbox_element,SC_SOLIDS,true,official_default,main_menu:SC_SOLIDS,main_menu:SC_SOLIDS,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/ROCK.cpp,GPL-3.0-only,,high,
191,DEFAULT_PT_LITH,LITH,Lithium,锂,canonical,DEFAULT_PT_LITH,official_original,single_element,SC_EXPLOSIVE,true,official_default,main_menu:SC_EXPLOSIVE+periodic_table,main_menu:SC_EXPLOSIVE+periodic_table,3,Li,element,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/LITH.cpp,GPL-3.0-only,docs/PERIODIC_CONTENT_LINKS.csv,high,
192,DEFAULT_PT_RSST,RSST,Resist,光刻胶,canonical,DEFAULT_PT_RSST,official_original,official_sandbox_element,SC_LIQUID,true,official_default,main_menu:SC_LIQUID,main_menu:SC_LIQUID,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/RSST.cpp,GPL-3.0-only,,high,
193,DEFAULT_PT_RSSS,RSSS,Solid Resist,固化光刻胶,canonical,DEFAULT_PT_RSSS,official_original,official_sandbox_element,SC_SOLIDS,true,official_default,main_menu:SC_SOLIDS,main_menu:SC_SOLIDS,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/RSSS.cpp,GPL-3.0-only,,high,
